id,question,answer,topic,difficulty
1158,Write a SQL query to select all records from courses where course_name != 25.,SELECT * FROM courses WHERE course_name!=25,WHERE,Hard
1159,Write a SQL query to select the department and credits columns from the courses table.,"SELECT department,credits FROM courses",SELECT,Medium
1160,Write a SQL query to retrieve all records from courses sorted by course_id in descending order.,SELECT * FROM courses ORDER BY course_id DESC,ORDER BY,Medium
1161,Write a SQL query to calculate the average of total_amount in the orders table.,SELECT AVG(total_amount) FROM orders,AGGREGATE FUNCTIONS,Medium
1162,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
1163,Write a SQL query to find the max for each product_name in the products table.,"SELECT product_name,MAX(stock) FROM products GROUP BY product_name",GROUP BY,Medium
1164,Write a SQL query to select distinct values of revenue and sale_date from sales.,"SELECT DISTINCT revenue,sale_date FROM sales",SELECT,Hard
1165,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
1166,Write a SQL query to find the max for each price in the products table.,"SELECT price,MAX(stock) FROM products GROUP BY price",GROUP BY,Medium
1167,Write a SQL query to select all records from employees where department <= 55.,SELECT * FROM employees WHERE department<=55,WHERE,Hard
1168,Write a SQL query to retrieve all records from products sorted by product_id in descending order.,SELECT * FROM products ORDER BY product_id DESC,ORDER BY,Medium
1169,Write a SQL query to select the genre and title columns from the books table.,"SELECT genre,title FROM books",SELECT,Medium
1170,Write a SQL query to select the city and email columns from the customers table.,"SELECT city,email FROM customers",SELECT,Medium
1171,Write a SQL query to find the avg for each first_name in the customers table.,"SELECT first_name,AVG(first_name) FROM customers GROUP BY first_name",GROUP BY,Medium
1172,Write a SQL query to find the minimum value of student_id in the students table.,SELECT MIN(student_id) FROM students,AGGREGATE FUNCTIONS,Easy
1173,Write a SQL query to select all records from departments where budget = 61.,SELECT * FROM departments WHERE budget=61,WHERE,Easy
1174,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
1175,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
1176,Write a SQL query to find the min for each author in the books table.,"SELECT author,MIN(book_id) FROM books GROUP BY author",GROUP BY,Medium
1177,Write a SQL query to find the maximum value of author in the books table.,SELECT MAX(author) FROM books,AGGREGATE FUNCTIONS,Easy
1178,Write a SQL query to select the course_id and department columns from the courses table.,"SELECT course_id,department FROM courses",SELECT,Medium
1179,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1180,Write a SQL query to retrieve all records from departments sorted by budget in ascending order.,SELECT * FROM departments ORDER BY budget ASC,ORDER BY,Easy
1181,Write a SQL query to find the max for each dept_name in the departments table.,"SELECT dept_name,MAX(location) FROM departments GROUP BY dept_name",GROUP BY,Medium
1182,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1183,Write a SQL query to select all records from flights where flight_id != 11.,SELECT * FROM flights WHERE flight_id!=11,WHERE,Hard
1184,Write a SQL query to select distinct values of origin and price from flights.,"SELECT DISTINCT origin,price FROM flights",SELECT,Hard
1185,Write a SQL query to select all records from products where product_id >= 34.,SELECT * FROM products WHERE product_id>=34,WHERE,Hard
1186,Write a SQL query to find the sum for each customer_id in the orders table.,"SELECT customer_id,SUM(order_date) FROM orders GROUP BY customer_id",GROUP BY,Medium
1187,Write a SQL query to find the minimum value of credits in the courses table.,SELECT MIN(credits) FROM courses,AGGREGATE FUNCTIONS,Easy
1188,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
1189,Write a SQL query to select all records from employees where emp_name < 81.,SELECT * FROM employees WHERE emp_name<81,WHERE,Medium
1190,Write a SQL query to find the max for each course_id in the courses table.,"SELECT course_id,MAX(course_id) FROM courses GROUP BY course_id",GROUP BY,Medium
1191,Write a SQL query to retrieve all records from employees sorted by salary in ascending order.,SELECT * FROM employees ORDER BY salary ASC,ORDER BY,Easy
1192,Write a SQL query to calculate the average of age in the students table.,SELECT AVG(age) FROM students,AGGREGATE FUNCTIONS,Medium
1193,Write a SQL query to retrieve all records from orders sorted by customer_id in descending order.,SELECT * FROM orders ORDER BY customer_id DESC,ORDER BY,Medium
1194,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1195,Write a SQL query to calculate the average of city in the customers table.,SELECT AVG(city) FROM customers,AGGREGATE FUNCTIONS,Medium
1196,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
1197,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
1198,Write a SQL query to find the minimum value of city in the customers table.,SELECT MIN(city) FROM customers,AGGREGATE FUNCTIONS,Easy
1199,Write a SQL query to find the minimum value of customer_id in the orders table.,SELECT MIN(customer_id) FROM orders,AGGREGATE FUNCTIONS,Easy
1200,Write a SQL query to find the min for each total_amount in the orders table.,"SELECT total_amount,MIN(order_date) FROM orders GROUP BY total_amount",GROUP BY,Medium
1201,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
1202,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1203,Write a SQL query to find the avg for each order_date in the orders table.,"SELECT order_date,AVG(total_amount) FROM orders GROUP BY order_date",GROUP BY,Medium
1204,Write a SQL query to select all records from sales where sale_id = 11.,SELECT * FROM sales WHERE sale_id=11,WHERE,Easy
1205,Write a SQL query to find the avg for each airline in the flights table.,"SELECT airline,AVG(price) FROM flights GROUP BY airline",GROUP BY,Medium
1206,Write a SQL query to retrieve all records from flights sorted by airline in ascending order.,SELECT * FROM flights ORDER BY airline ASC,ORDER BY,Easy
1207,Write a SQL query to calculate the total sum of budget in the departments table.,SELECT SUM(budget) FROM departments,AGGREGATE FUNCTIONS,Medium
1208,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
1209,Write a SQL query to find the avg for each status in the orders table.,"SELECT status,AVG(total_amount) FROM orders GROUP BY status",GROUP BY,Medium
1210,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
1211,Write a SQL query to retrieve all records from products sorted by category in descending order.,SELECT * FROM products ORDER BY category DESC,ORDER BY,Medium
1212,Write a SQL query to retrieve all records from departments sorted by dept_id in descending order.,SELECT * FROM departments ORDER BY dept_id DESC,ORDER BY,Medium
1213,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1214,Write a SQL query to find the min for each title in the books table.,"SELECT title,MIN(author) FROM books GROUP BY title",GROUP BY,Medium
1215,Write a SQL query to select all records from departments where dept_name <= 66.,SELECT * FROM departments WHERE dept_name<=66,WHERE,Hard
1216,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
1217,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
1218,Write a SQL query to find the avg for each sale_id in the sales table.,"SELECT sale_id,AVG(quantity) FROM sales GROUP BY sale_id",GROUP BY,Medium
1219,Write a SQL query to retrieve all records from books sorted by book_id in ascending order.,SELECT * FROM books ORDER BY book_id ASC,ORDER BY,Easy
1220,Write a SQL query to select all records from flights where price <= 43.,SELECT * FROM flights WHERE price<=43,WHERE,Hard
1221,Write a SQL query to find the sum for each course_id in the courses table.,"SELECT course_id,SUM(department) FROM courses GROUP BY course_id",GROUP BY,Medium
1222,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1223,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1224,Write a SQL query to select the course and name columns from the students table.,"SELECT course,name FROM students",SELECT,Medium
1225,Write a SQL query to calculate the average of department in the courses table.,SELECT AVG(department) FROM courses,AGGREGATE FUNCTIONS,Medium
1226,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1227,Write a SQL query to select distinct values of category and price from products.,"SELECT DISTINCT category,price FROM products",SELECT,Hard
1228,Write a SQL query to retrieve all records from the sales table.,SELECT * FROM sales,SELECT,Easy
1229,Write a SQL query to select all records from students where grade < 25.,SELECT * FROM students WHERE grade<25,WHERE,Medium
1230,Write a SQL query to retrieve all records from employees sorted by emp_id in descending order.,SELECT * FROM employees ORDER BY emp_id DESC,ORDER BY,Medium
1231,Write a SQL query to find the avg for each manager in the departments table.,"SELECT manager,AVG(budget) FROM departments GROUP BY manager",GROUP BY,Medium
1232,Write a SQL query to calculate the average of stock in the products table.,SELECT AVG(stock) FROM products,AGGREGATE FUNCTIONS,Medium
1233,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
1234,Write a SQL query to find the maximum value of product_id in the products table.,SELECT MAX(product_id) FROM products,AGGREGATE FUNCTIONS,Easy
1235,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
1236,Write a SQL query to select all records from employees where hire_date <= 65.,SELECT * FROM employees WHERE hire_date<=65,WHERE,Hard
1237,Write a SQL query to find the count for each student_id in the students table.,"SELECT student_id,COUNT(*) FROM students GROUP BY student_id",GROUP BY,Easy
1238,Write a SQL query to retrieve all records from departments sorted by dept_id in descending order.,SELECT * FROM departments ORDER BY dept_id DESC,ORDER BY,Medium
1239,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
1240,Write a SQL query to find the sum for each product_name in the products table.,"SELECT product_name,SUM(stock) FROM products GROUP BY product_name",GROUP BY,Medium
1241,Write a SQL query to select distinct values of course and student_id from students.,"SELECT DISTINCT course,student_id FROM students",SELECT,Hard
1242,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1243,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1244,Write a SQL query to retrieve all records from products sorted by price in descending order.,SELECT * FROM products ORDER BY price DESC,ORDER BY,Medium
1245,Write a SQL query to find the sum for each dept_id in the departments table.,"SELECT dept_id,SUM(location) FROM departments GROUP BY dept_id",GROUP BY,Medium
1246,Write a SQL query to find the minimum value of airline in the flights table.,SELECT MIN(airline) FROM flights,AGGREGATE FUNCTIONS,Easy
1247,Write a SQL query to select all records from flights where airline != 73.,SELECT * FROM flights WHERE airline!=73,WHERE,Hard
1248,Write a SQL query to find the sum for each flight_id in the flights table.,"SELECT flight_id,SUM(price) FROM flights GROUP BY flight_id",GROUP BY,Medium
1249,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1250,Write a SQL query to find the maximum value of origin in the flights table.,SELECT MAX(origin) FROM flights,AGGREGATE FUNCTIONS,Easy
1251,Write a SQL query to find the min for each customer_id in the customers table.,"SELECT customer_id,MIN(email) FROM customers GROUP BY customer_id",GROUP BY,Medium
1252,Write a SQL query to find the sum for each publish_year in the books table.,"SELECT publish_year,SUM(publish_year) FROM books GROUP BY publish_year",GROUP BY,Medium
1253,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
1254,Write a SQL query to find the sum for each instructor in the courses table.,"SELECT instructor,SUM(department) FROM courses GROUP BY instructor",GROUP BY,Medium
1255,Write a SQL query to select the emp_id and salary columns from the employees table.,"SELECT emp_id,salary FROM employees",SELECT,Medium
1256,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1257,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
1258,Write a SQL query to select all records from sales where quantity > 7.,SELECT * FROM sales WHERE quantity>7,WHERE,Medium
1259,Write a SQL query to calculate the average of name in the students table.,SELECT AVG(name) FROM students,AGGREGATE FUNCTIONS,Medium
1260,Write a SQL query to retrieve all records from the sales table.,SELECT * FROM sales,SELECT,Easy
1261,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
1262,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1263,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1264,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
1265,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
1266,Write a SQL query to find the minimum value of emp_id in the employees table.,SELECT MIN(emp_id) FROM employees,AGGREGATE FUNCTIONS,Easy
1267,Write a SQL query to find the avg for each revenue in the sales table.,"SELECT revenue,AVG(product_id) FROM sales GROUP BY revenue",GROUP BY,Medium
1268,Write a SQL query to select all records from employees where department < 96.,SELECT * FROM employees WHERE department<96,WHERE,Medium
1269,Write a SQL query to retrieve all records from the customers table.,SELECT * FROM customers,SELECT,Easy
1270,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
1271,Write a SQL query to select all records from sales where sale_date = 27.,SELECT * FROM sales WHERE sale_date=27,WHERE,Easy
1272,Write a SQL query to find the count for each dept_id in the departments table.,"SELECT dept_id,COUNT(*) FROM departments GROUP BY dept_id",GROUP BY,Easy
1273,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
1274,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1275,Write a SQL query to select all records from courses where instructor >= 54.,SELECT * FROM courses WHERE instructor>=54,WHERE,Hard
1276,Write a SQL query to select the order_id and status columns from the orders table.,"SELECT order_id,status FROM orders",SELECT,Medium
1277,Write a SQL query to count the number of records in the books table.,SELECT COUNT(*) FROM books,AGGREGATE FUNCTIONS,Easy
1278,Write a SQL query to select all records from customers where customer_id > 16.,SELECT * FROM customers WHERE customer_id>16,WHERE,Medium
1279,Write a SQL query to find the count for each student_id in the students table.,"SELECT student_id,COUNT(*) FROM students GROUP BY student_id",GROUP BY,Easy
1280,Write a SQL query to find the max for each status in the orders table.,"SELECT status,MAX(customer_id) FROM orders GROUP BY status",GROUP BY,Medium
1281,Write a SQL query to select all records from flights where destination != 41.,SELECT * FROM flights WHERE destination!=41,WHERE,Hard
1282,Write a SQL query to select the budget and location columns from the departments table.,"SELECT budget,location FROM departments",SELECT,Medium
1283,Write a SQL query to calculate the total sum of manager in the departments table.,SELECT SUM(manager) FROM departments,AGGREGATE FUNCTIONS,Medium
1284,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
1285,Write a SQL query to find the count for each first_name in the customers table.,"SELECT first_name,COUNT(*) FROM customers GROUP BY first_name",GROUP BY,Easy
1286,Write a SQL query to retrieve all records from customers sorted by first_name in ascending order.,SELECT * FROM customers ORDER BY first_name ASC,ORDER BY,Easy
1287,Write a SQL query to select all records from departments where location != 24.,SELECT * FROM departments WHERE location!=24,WHERE,Hard
1288,Write a SQL query to find the minimum value of book_id in the books table.,SELECT MIN(book_id) FROM books,AGGREGATE FUNCTIONS,Easy
1289,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
1290,Write a SQL query to find the minimum value of category in the products table.,SELECT MIN(category) FROM products,AGGREGATE FUNCTIONS,Easy
1291,Write a SQL query to select all records from customers where email >= 82.,SELECT * FROM customers WHERE email>=82,WHERE,Hard
1292,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1293,Write a SQL query to select all records from students where student_id > 87.,SELECT * FROM students WHERE student_id>87,WHERE,Medium
1294,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1295,Write a SQL query to calculate the total sum of salary in the employees table.,SELECT SUM(salary) FROM employees,AGGREGATE FUNCTIONS,Medium
1296,Write a SQL query to select all records from students where grade != 56.,SELECT * FROM students WHERE grade!=56,WHERE,Hard
1297,Write a SQL query to select all records from books where title = 57.,SELECT * FROM books WHERE title=57,WHERE,Easy
1298,Write a SQL query to find the minimum value of emp_id in the employees table.,SELECT MIN(emp_id) FROM employees,AGGREGATE FUNCTIONS,Easy
1299,Write a SQL query to find the min for each salary in the employees table.,"SELECT salary,MIN(hire_date) FROM employees GROUP BY salary",GROUP BY,Medium
1300,Write a SQL query to calculate the average of sale_id in the sales table.,SELECT AVG(sale_id) FROM sales,AGGREGATE FUNCTIONS,Medium
1301,Write a SQL query to find the count for each department in the courses table.,"SELECT department,COUNT(*) FROM courses GROUP BY department",GROUP BY,Easy
1302,Write a SQL query to select all records from courses where instructor = 37.,SELECT * FROM courses WHERE instructor=37,WHERE,Easy
1303,Write a SQL query to retrieve all records from the courses table.,SELECT * FROM courses,SELECT,Easy
1304,Write a SQL query to retrieve all records from books sorted by book_id in descending order.,SELECT * FROM books ORDER BY book_id DESC,ORDER BY,Medium
1305,Write a SQL query to calculate the average of credits in the courses table.,SELECT AVG(credits) FROM courses,AGGREGATE FUNCTIONS,Medium
1306,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
1307,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
1308,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
1309,Write a SQL query to find the max for each price in the flights table.,"SELECT price,MAX(destination) FROM flights GROUP BY price",GROUP BY,Medium
1310,Write a SQL query to count the number of records in the sales table.,SELECT COUNT(*) FROM sales,AGGREGATE FUNCTIONS,Easy
1311,Write a SQL query to select all records from employees where emp_name > 87.,SELECT * FROM employees WHERE emp_name>87,WHERE,Medium
1312,Write a SQL query to retrieve all records from orders sorted by customer_id in descending order.,SELECT * FROM orders ORDER BY customer_id DESC,ORDER BY,Medium
1313,Write a SQL query to select all records from customers where customer_id = 42.,SELECT * FROM customers WHERE customer_id=42,WHERE,Easy
1314,Write a SQL query to select distinct values of grade and student_id from students.,"SELECT DISTINCT grade,student_id FROM students",SELECT,Hard
1315,Write a SQL query to select all records from sales where quantity != 52.,SELECT * FROM sales WHERE quantity!=52,WHERE,Hard
1316,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
1317,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
1318,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
1319,Write a SQL query to calculate the average of product_id in the sales table.,SELECT AVG(product_id) FROM sales,AGGREGATE FUNCTIONS,Medium
1320,Write a SQL query to calculate the average of budget in the departments table.,SELECT AVG(budget) FROM departments,AGGREGATE FUNCTIONS,Medium
1321,Write a SQL query to select all records from sales where sale_id <= 59.,SELECT * FROM sales WHERE sale_id<=59,WHERE,Hard
1322,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
1323,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
1324,Write a SQL query to select all records from products where category = 91.,SELECT * FROM products WHERE category=91,WHERE,Easy
1325,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
1326,Write a SQL query to select all records from employees where hire_date <= 95.,SELECT * FROM employees WHERE hire_date<=95,WHERE,Hard
1327,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
1328,Write a SQL query to find the max for each airline in the flights table.,"SELECT airline,MAX(destination) FROM flights GROUP BY airline",GROUP BY,Medium
1329,Write a SQL query to find the minimum value of hire_date in the employees table.,SELECT MIN(hire_date) FROM employees,AGGREGATE FUNCTIONS,Easy
1330,Write a SQL query to select all records from students where name >= 84.,SELECT * FROM students WHERE name>=84,WHERE,Hard
1331,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1332,Write a SQL query to select all records from customers where last_name < 1.,SELECT * FROM customers WHERE last_name<1,WHERE,Medium
1333,Write a SQL query to find the min for each credits in the courses table.,"SELECT credits,MIN(course_id) FROM courses GROUP BY credits",GROUP BY,Medium
1334,Write a SQL query to find the max for each order_date in the orders table.,"SELECT order_date,MAX(customer_id) FROM orders GROUP BY order_date",GROUP BY,Medium
1335,Write a SQL query to find the sum for each sale_id in the sales table.,"SELECT sale_id,SUM(quantity) FROM sales GROUP BY sale_id",GROUP BY,Medium
1336,Write a SQL query to retrieve all records from the sales table.,SELECT * FROM sales,SELECT,Easy
1337,Write a SQL query to retrieve all records from departments sorted by manager in ascending order.,SELECT * FROM departments ORDER BY manager ASC,ORDER BY,Easy
1338,Write a SQL query to find the sum for each book_id in the books table.,"SELECT book_id,SUM(genre) FROM books GROUP BY book_id",GROUP BY,Medium
1339,Write a SQL query to find the minimum value of price in the products table.,SELECT MIN(price) FROM products,AGGREGATE FUNCTIONS,Easy
1340,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
1341,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
1342,Write a SQL query to retrieve all records from courses sorted by course_id in ascending order.,SELECT * FROM courses ORDER BY course_id ASC,ORDER BY,Easy
1343,Write a SQL query to select all records from courses where credits <= 98.,SELECT * FROM courses WHERE credits<=98,WHERE,Hard
1344,Write a SQL query to select all records from products where price != 13.,SELECT * FROM products WHERE price!=13,WHERE,Hard
1345,Write a SQL query to select all records from customers where email > 37.,SELECT * FROM customers WHERE email>37,WHERE,Medium
1346,Write a SQL query to select all records from departments where dept_id > 95.,SELECT * FROM departments WHERE dept_id>95,WHERE,Medium
1347,Write a SQL query to retrieve all records from employees sorted by hire_date in ascending order.,SELECT * FROM employees ORDER BY hire_date ASC,ORDER BY,Easy
1348,Write a SQL query to count the number of records in the students table.,SELECT COUNT(*) FROM students,AGGREGATE FUNCTIONS,Easy
1349,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
1350,Write a SQL query to select the city and customer_id columns from the customers table.,"SELECT city,customer_id FROM customers",SELECT,Medium
1351,Write a SQL query to select all records from products where price = 61.,SELECT * FROM products WHERE price=61,WHERE,Easy
1352,Write a SQL query to find the minimum value of airline in the flights table.,SELECT MIN(airline) FROM flights,AGGREGATE FUNCTIONS,Easy
1353,Write a SQL query to find the min for each publish_year in the books table.,"SELECT publish_year,MIN(book_id) FROM books GROUP BY publish_year",GROUP BY,Medium
1354,Write a SQL query to select all records from books where title != 20.,SELECT * FROM books WHERE title!=20,WHERE,Hard
1355,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
1356,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
1357,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
1358,Write a SQL query to find the min for each email in the customers table.,"SELECT email,MIN(last_name) FROM customers GROUP BY email",GROUP BY,Medium
1359,Write a SQL query to calculate the total sum of dept_id in the departments table.,SELECT SUM(dept_id) FROM departments,AGGREGATE FUNCTIONS,Medium
1360,Write a SQL query to retrieve all records from products sorted by product_name in descending order.,SELECT * FROM products ORDER BY product_name DESC,ORDER BY,Medium
1361,Write a SQL query to retrieve all records from flights sorted by flight_id in ascending order.,SELECT * FROM flights ORDER BY flight_id ASC,ORDER BY,Easy
1362,Write a SQL query to find the max for each age in the students table.,"SELECT age,MAX(grade) FROM students GROUP BY age",GROUP BY,Medium
1363,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
1364,Write a SQL query to select all records from departments where manager = 52.,SELECT * FROM departments WHERE manager=52,WHERE,Easy
1365,Write a SQL query to find the sum for each flight_id in the flights table.,"SELECT flight_id,SUM(flight_id) FROM flights GROUP BY flight_id",GROUP BY,Medium
1366,Write a SQL query to retrieve all records from employees sorted by emp_name in descending order.,SELECT * FROM employees ORDER BY emp_name DESC,ORDER BY,Medium
1367,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
1368,Write a SQL query to select the order_date and status columns from the orders table.,"SELECT order_date,status FROM orders",SELECT,Medium
1369,Write a SQL query to count the number of records in the flights table.,SELECT COUNT(*) FROM flights,AGGREGATE FUNCTIONS,Easy
1370,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
1371,Write a SQL query to retrieve all records from employees sorted by emp_id in descending order.,SELECT * FROM employees ORDER BY emp_id DESC,ORDER BY,Medium
1372,Write a SQL query to find the avg for each status in the orders table.,"SELECT status,AVG(order_date) FROM orders GROUP BY status",GROUP BY,Medium
1373,Write a SQL query to find the maximum value of last_name in the customers table.,SELECT MAX(last_name) FROM customers,AGGREGATE FUNCTIONS,Easy
1374,Write a SQL query to find the max for each price in the flights table.,"SELECT price,MAX(origin) FROM flights GROUP BY price",GROUP BY,Medium
1375,Write a SQL query to select all records from flights where flight_id <= 96.,SELECT * FROM flights WHERE flight_id<=96,WHERE,Hard
